,Numero_de_Productos_Ordenados,ID,Lista_de_Volumenes_de_Productos,Volumen_Total
14101,4,"[41915, 34068, 34034, 31474]","[0.001841, 5.08e-06, 0.001235, 0.0009568]",0.00403788
14102,1,[48434],[0.0009568],0.0009568
14103,1,[35318],[0.081744],0.081744
14104,1,[17244],[0.011129],0.011129
14105,2,"[37473, 34043]","[0.0009568, 0.066485]",0.0674418
14106,1,[4129],[0.001125],0.001125
14107,1,[47679],[0.00816903],0.00816903
14108,1,[35096],[0.0035158],0.0035158
14109,1,[37583],[0.004511],0.004511
14110,1,[24355],[0.076162],0.076162
14111,1,[37527],[0.020121],0.020121
14112,1,[17841],[0.62437233],0.62437233
14113,1,[47052],[0.008924],0.008924
14114,1,[48022],[0.39166253],0.39166253
14115,1,[24337],[6.135e-05],6.135e-05
14116,1,[37584],[1.555],1.555
14117,1,[17422],[0.000646],0.000646
14118,1,[39249],[0.000298],0.000298
14119,1,[1458],[0.000322],0.000322
14120,1,[27445],[0.205264],0.205264
14121,1,[17412],[0.01],0.01
14122,3,"[17462, 41372, 20072]","[1.6028, 0.00345244, 0.00105]",1.60730244
14123,1,[34299],[0.0009568],0.0009568
14124,1,[24371],[0.001],0.001
14125,1,[35967],[0.0009568],0.0009568
14126,2,"[17183, 17223]","[0.000166, 0.00053854]",0.00070454
14127,1,[17808],[0.103],0.103
14128,1,[44451],[0.009683],0.009683
14129,1,[35050],[0.0009568],0.0009568
14130,1,[32706],[0.014047],0.014047
14131,1,[46848],[0.0009568],0.0009568
14132,1,[21110],[0.0009568],0.0009568
14133,1,[48218],[0.655312],0.655312
14134,1,[20647],[0.005334],0.005334
14135,1,[24337],[6.135e-05],6.135e-05
14136,1,[18143],[0.0009568],0.0009568
14137,1,[48249],[0.074915],0.074915
14138,1,[41913],[0.055245],0.055245
14139,1,[23534],[0.031977],0.031977
14140,1,[23398],[0.020912],0.020912
14141,8,"[34248, 17433, 24335, 35370, 34679, 20672, 25735, 24035]","[1.276e-05, 0.000611, 0.0001, 0.001125, 0.013735, 0.014321, 0.0001, 0.00056]",0.030564760000000003
14142,2,"[43695, 48307]","[0.028782, 0.0030624]",0.031844399999999995
14143,1,[13505],[0.0009568],0.0009568
14144,1,[48404],[0.0001],0.0001
14145,1,[43126],[0.0460025],0.0460025
14146,1,[35887],[0.0009958],0.0009958
14147,4,"[37177, 46817, 17387, 17154]","[0.006222, 0.04576, 0.0001, 0.00015121]",0.05223321
14148,1,[41727],[0.0009568],0.0009568
14149,1,[27072],[0.006222],0.006222
14150,1,[17140],[6.135e-05],6.135e-05
14151,1,[36102],[0.00430529],0.00430529
14152,1,[23292],[0.00642],0.00642
14153,1,[34112],[0.00056],0.00056
14154,1,[37099],[0.0009958],0.0009958
14155,1,[17272],[0.384],0.384
14156,1,[37583],[0.004511],0.004511
14157,1,[5895],[0.0009568],0.0009568
14158,1,[23841],[0.006222],0.006222
14159,1,[1351],[0.0004788],0.0004788
14160,1,[2346],[0.000988],0.000988
14161,1,[37730],[0.001125],0.001125
14162,1,[47938],[0.006222],0.006222
14163,1,[20752],[0.30705],0.30705
14164,1,[23558],[0.00214414],0.00214414
14165,1,[34090],[0.013735],0.013735
14166,1,[47581],[0.0001],0.0001
14167,1,[20458],[0.05301],0.05301
14168,1,[17882],[0.214957],0.214957
14169,1,[35159],[0.02298751],0.02298751
14170,1,[34386],[5.08e-06],5.08e-06
14171,1,[2736],[1.379e-05],1.379e-05
14172,1,[37526],[0.02331],0.02331
14173,1,[47016],[0.001125],0.001125
14174,1,[37449],[0.014586],0.014586
14175,1,[20819],[0.00642],0.00642
14176,1,[3125],[0.0009568],0.0009568
14177,1,[41913],[0.055245],0.055245
14178,1,[17377],[0.008],0.008
14179,2,"[34742, 48229]","[0.006729, 0.00036575]",0.0070947499999999995
14180,6,"[34515, 34820, 34812, 17377, 20627, 34267]","[0.17753, 0.08, 5.08e-06, 0.008, 0.0298, 0.556999]",0.85233408
14181,1,[40438],[0.00112],0.00112
14182,1,[34644],[0.02016],0.02016
14183,2,"[40436, 17785]","[0.000216, 0.0009568]",0.0011727999999999999
14184,1,[17737],[0.018925],0.018925
14185,1,[4129],[0.001125],0.001125
14186,1,[34742],[0.006729],0.006729
14187,2,"[44842, 34742]","[0.000104, 0.006729]",0.006833
14188,1,[18535],[0.006904],0.006904
14189,1,[17836],[0.004623],0.004623
14190,1,[41647],[0.0010862],0.0010862
14191,1,[34112],[0.00056],0.00056
14192,1,[20282],[0.056515],0.056515
14193,1,[37584],[1.555],1.555
14194,1,[1550],[0.05415562],0.05415562
14195,1,[47678],[0.08006072],0.08006072
14196,1,[17206],[0.02987],0.02987
14197,1,[34579],[0.020912],0.020912
